count,hate_speech,offensive_language,neither,class,tweet
3,0,3,0,1,nobody never invite lesbian party bitch
3,0,3,0,1,girl suck deal period make we bitch shave leg daily basis worry eat
3,0,3,0,1,still free world bitch not deserve area code
3,0,0,3,2,girl wear bathrobe still cuz really cute fuzzy bathrobe victorias secret even ok wear
3,0,0,3,2,funny people take fantasy sport league seriously celebrate play dampd mock
3,0,3,0,1,like something year old talk back mom amp take uncle truck without permission like bitch need fucken relax
3,0,3,0,1,not throw pussy let come get
3,0,1,2,2,pity party trash amp not throw
3,0,3,0,1,eat pussy nd look like
3,0,2,1,1,get granny longjohns rednecksfor cold bone cold polar vortex sequel dog
3,0,3,0,1,eat pussy like
3,0,3,0,1,fugly loose hoe
3,0,3,0,1,bangbangbirdgang ya bitch fruit loop
3,0,3,0,1,hahahaha happy bitch spill coffee everywhere
3,0,3,0,1,bitch idiot troll spamblocke keep spew ur shit
9,0,1,8,2,halloween fast approach please understand culture costume mock ridicule
3,1,0,2,2,teabagger state like mississippi oppose minimum wage child labor law union proscab sweatshop work pretty much slavery
3,0,3,0,1,thingsthatgetsonmynerve needy hoe ratchet hoes sideline hoe beggin hoe dumb hoe look love facebook hoe
3,2,1,0,0,fuck callin jiggaboo nigga
3,0,3,0,1,choke bread bitch
3,0,3,0,1,fine hoe
3,0,0,3,2,want love gook awesome get
3,2,1,0,0,good prom see another faggot ass high school dance
3,0,3,0,1,be not say bitch act like female dog
3,0,3,0,1,dnt use shit hoe
3,0,0,3,2,clam comedy writer untrue
3,1,0,2,2,ltltbest name twitter ever aka jewbaccaltltsecond best name twitter
3,0,3,0,1,young rich niggah tryna fuck niggah bitch ex rat naybahoods fuckin bitch
3,0,0,3,2,amp hubby relax studio lilthen headed str honey doo wop wop bday bash kristen
3,0,0,3,2,point every voter florida vote charlie crist
3,0,0,3,2,operation ask redhead resolve charlie brown rejectedpeanutsspecial
3,0,3,0,1,could not care less bitch
3,1,2,0,1,hoe ya grandma get tattoo
3,2,1,0,0,fag gtfo
3,0,0,3,2,like pairtheyre overprice trash
3,0,0,3,2,eggplant emoji doey say look like scream lmao
3,3,0,0,0,fuck gay blacklist hoe holding tehgodclan anyway
3,0,1,2,2,people work company tend trash
3,1,2,0,1,can not trust bitch niggas either
3,0,3,0,1,be not bundle soooo nopeit bitch happy hosting
3,0,1,2,2,tranny dragon eh know people love
3,0,0,3,2,song bird sing hs gospel choir
3,0,3,0,1,good bitch ass nigga catch phase
3,0,1,2,2,damn lol janay rice speak domestic violence costume mock marriage
3,0,0,3,2,ill give tip beware ugly bird hide behind massive lense sunnie
6,0,0,6,2,bird poope
3,0,3,0,1,not care saying call someone bitch still call someone name
3,0,3,0,1,guy bros hoe girl chick dick whoever back fake ass people day
3,1,2,0,1,goligoski must bleed also leave via ambulance guess sill close thing mcgrath hit bitch
3,0,3,0,1,try time go sit silence cry like bitch sweat
3,1,2,0,1,come queer
3,1,2,0,1,almost enough rank buy stuff purple bitch buy exotic guy
3,2,1,0,0,never go full retard
6,0,5,1,1,feel like mouthpiece cold ill give lesson every niggah ever get turn low cost hmu
3,0,3,0,1,trash
3,0,3,0,1,touch pussy
3,0,3,0,1,oomf fuckin fine tho dam not bitch
3,0,3,0,1,bet faggot
3,0,0,3,2,source say charlie crist phone rick scott type concede
6,1,5,0,1,david bitch
3,0,3,0,1,oh yeah fuck bitch
3,2,1,0,0,gabbys bitch two account
3,2,1,0,0,true idk even convo dumb nigger attention whore
3,2,1,0,0,okay closet fag
3,0,3,0,1,way take order like little bitch bitch
3,0,3,0,1,girl fucking grimy today keep vagina pant dirty hoe
3,1,2,0,1,bitch get twitter turn saint like hoe shit kill nigga
3,0,2,1,1,tweak rich homie trash damn near still listen lil b wow
3,0,3,0,1,can not homeless bitch well slip
3,0,3,0,1,u think dream anything two dumb bitch san diego lol
3,1,2,0,1,guysssss know mean maaan friend hoe can not true
3,0,3,0,1,sit talk u would go to something bitch
3,0,3,0,1,life bitch die get high cause neva know go to go sister perfect
4,0,4,0,1,faggots orioles petty fuckgot sweep outta bitch
3,2,1,0,0,holders justice department not interested fact ferguson race hustle bitch disgraceful
3,2,1,0,0,like niggas try come like bitch not shit pussy
3,0,1,2,2,get trash talk year old wtf
3,1,2,0,1,fck nigger lol jk bra
3,0,3,0,1,fresh polo bitch
3,0,3,0,1,haha bitch team
3,2,1,0,0,bet think nochill savage huh fucking faggot
3,1,2,0,1,nah forreal pussy smell like dry crusty fish gut
3,1,2,0,1,never moose lol log faggot finished
3,2,1,0,0,sorry fo da rant make mad ashamed color wish white would like
3,1,2,0,1,point call nigger
3,0,3,0,1,dyke
3,0,3,0,1,actual quote local cop many pussy town
3,0,0,3,2,not make direct eye contact anythingbird cat nothing lol go west bu
3,0,3,0,1,slap bitch
3,0,3,0,1,baker plant bitch white guy light wick
3,0,2,1,1,think retarded somethin
3,0,3,0,1,make wise argument accelerated warholian notion celebrity era vine pass teen mock old wrinkle ball
3,0,0,3,2,not shake head love trash talk
3,1,2,0,1,cunt nigger fuck ball tit cocksucker piss dick kike can not take swearing not go god damn internet
6,0,5,1,1,hoe gon hoe regardless
3,0,3,0,1,leash pussy
3,0,0,3,2,solution zog not deal demographic law solution northwestimperative
3,1,2,0,1,everything outside come get bitch
3,0,0,3,2,scientifically prove one cry least watch charlie st cloud
3,0,0,3,2,good gravedigger charlie brown spookybroadway
3,0,3,0,1,dis shit bird
3,0,3,0,1,hate girl say single heart take bitch nigga not love move
3,0,3,0,1,bad bitch be not cheap well pass u break
3,1,2,0,1,keep give pussy ass niggas ah reason hate
3,0,0,3,2,water not yellow healthy student
3,0,3,0,1,good trash niggas eat chip ahoy cookie cookie not house hour yet
3,0,1,2,2,manner black folk take kid ride ghetto point misplaced youth victimize amp curse brother say
3,0,1,2,2,trash
3,0,0,3,2,rise planet ape
3,0,3,0,1,know countryass old bitch tn ur back
3,0,2,1,1,always put ginger red yellow leopard print
3,2,1,0,0,not like dat magazine da black folk look like dey one chromeasome away da ape
3,0,1,2,2,not understand rich people dress like trash
3,0,3,0,1,everybody know bitch love mullet pantiedropin
3,0,0,3,2,say zebra goth
3,0,1,2,2,obersturmfuhrer matthias wife superb financial brian carry labelling presence see ho
3,0,3,0,1,boss ass bitch remix
3,0,3,0,1,every bitch n passenger seat dun fuck least one time
3,0,3,0,1,hit pass pussy elastic
3,0,3,0,1,dude kill would not mess khloe kardashian be not money see hoe hit get real
3,2,1,0,0,bitch fuck yo nigga pussy
3,0,3,0,1,not hoe hoe snapchat
3,0,3,0,1,haha pussy lololol
3,0,0,3,2,make brownie
3,0,3,0,1,bitch shut hand flower sell light change
3,0,3,0,1,lmsoooo dawg be not get bitch mane low key get chick can not say twitter know wolf
3,1,2,0,1,would reply red emoji nigger
3,0,1,2,2,crystal probably person world interested poor black hillbillyjamaicapoor white hillbillywv idea
3,0,0,3,2,hard qa time also pain mock unit test
3,0,3,0,1,hoe yu erbody bitch
3,0,3,0,1,get to keep fight bro thea hoe try bring thestrugle
3,0,2,1,1,amp bitch ask jean sag cuz tryna hold bandz
3,0,3,0,1,hate drink everyone fucking boring fuck guy ill fun pussy
3,2,1,0,0,yes white wash not go around reppe hood say bunch ignorant nig term
3,0,1,2,2,greenyellow fuel pumpgtgtgtgtgt dieselstation
3,1,2,0,1,elizabeth stupid hoe
3,0,2,1,1,shit like eggplant baby black big enough dat da woman get dem piece
3,1,2,0,1,ai not hoe day
6,0,0,6,2,get slot sole sauce early bird today use save checkout
3,0,3,0,1,leo apolonio look niggah drive bike
3,0,0,3,2,yellow writing black jerse
3,0,3,0,1,not got bad mouth fuck shit ass bitch cunt shooby de doo wop
3,0,0,3,2,stuff break loose must panic share gif instead
3,0,3,0,1,chick gorgeous fine pussy stink
3,0,1,2,2,nothing agenda unbelievable dems fail use teabagger
6,0,0,6,2,former towie star charlie king come inspire congrats welcome family
6,0,1,5,2,bruh soo trash
3,1,2,0,1,fag
3,0,3,0,1,not make music niggas not get bitch
3,0,2,1,1,come tank break dem hoe back
3,0,1,2,2,chink well rug rat run around yah crib girl enjoy life lol
3,0,0,3,2,morgan park kid like pop fire cracker school
3,0,0,3,2,flappy bird instead study sounds great flappybirdisruiningmylife
3,2,1,0,0,aight game dyke ruin
3,0,3,0,1,fuck hot head pussy gt cold heart
3,0,0,3,2,tryna get sleep bird start get rowdy
3,0,0,3,2,let dem concerntrolle commence earnest wagon ho
3,0,3,0,1,little stupid ass bitch be not fuckin
3,0,0,3,2,every time play patapon game hear ushishi theme think beatboxing monkey yo yo yo get uppa
3,2,1,0,0,here suggestion play racist ha nigger stop callin nigga end
6,0,6,0,1,could chick boob face score fight well bitch make
3,0,1,2,2,bitch thincc dress code
3,0,3,0,1,fuck bitch shut roll throw
3,2,1,0,0,not serious bitch bitch niggas name be not fuccing witcho ass make shit
3,0,3,0,1,stfu prude ass basic ass bitch
3,0,3,0,1,roll get eat barter system nig
3,0,3,0,1,get to love tanner country hoe amp allhaha
3,0,0,3,2,flappy bird stress
3,0,3,0,1,busy rage bitch care good friend go hell punch
3,2,1,0,0,niggah know wassup
3,0,3,0,1,figure hoe wanna play game fuck em leave em
3,0,3,0,1,wanna travel world bitch
3,0,0,3,2,night cap nonsense bird
9,0,9,0,1,girlfriend got to accept fact hoe go face boyfriend well let hoe know wassup
3,0,3,0,1,bruh bruh bitch be not loyal
3,0,3,0,1,hoe fucking not want seem like hoe get to hit em low
3,0,0,3,2,ballgame yankees win yanks beat white sox innings
3,0,3,0,1,fuck ms patrick bitch can not teach shit
6,0,1,5,2,hot press here todd mcshays first postcombine nfl mock draft include new
3,0,3,0,1,beatthehabs nyr pussy
3,0,3,0,1,haha thinkingofyou dirtylove sexxy bitch
3,2,1,0,0,bitch want nigga like dmx shit
3,0,2,1,1,nig nog
3,0,3,0,1,bitch come
3,1,2,0,1,thank bruh not ever forget still look faggot
3,0,3,0,1,oh come little bitch us veto thrill watch
3,0,3,0,1,fuck huggin kiss fuck bitch
3,0,3,0,1,lmoa high giraffe pussy
3,2,1,0,0,wow comin back bitch niggas
3,0,1,2,2,iggy trend twitter trash today
